"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Duration","Growth Habit","Native Status","State Noxious Status","State Noxious Common Name","Characteristics Data","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ABIES","","Abies","fir","Gymnosperm","","","L48(I,N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAM","","Abies amabilis","Pacific silver fir","Gymnosperm","Perennial","Tree","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","","None","High","No","Yes","No","Yellow","No","Gray-Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","20","165","No","Yes","Long","No","None","No","Erect","None","Yes","Yes","Yes","None","Low","Yes","Low","Low","None","90","None","Medium","3.3","6.0","300","700","38","260","36","None","Tolerant","-28","Late Spring","Routinely Available","Low","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","11280","Slow","Low","No","None","No","Yes","No","Low","Yes","No","No","Low","","No","No","","Yes","Yes"
"ABGR","","Abies grandis","grand fir","Gymnosperm","Perennial","Tree","L48(N)CAN(N)","","","Yes","Spring and Summer","","None","High","No","No","Yes","","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Moderate","25","150","No","Yes","Long","No","None","No","Conical","None","Yes","Yes","No","Low","Low","Yes","Medium","Medium","High","60","Low","Medium","4.5","7.5","300","1200","11","100","20","None","Tolerant","-33","Late Spring","Field Collections Only","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","23200","Slow","Low","No","None","No","Yes","No","Low","Yes","No","Yes","Low","","No","No","Low","Yes","Yes"
"ABLA","","Abies lasiocarpa","subalpine fir","Gymnosperm","Perennial","Tree","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","","None","High","No","No","No","","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","15","90","No","Yes","Long","No","None","No","Conical","None","Yes","Yes","No","None","Low","Yes","Low","Medium","Low","120","Low","Medium","4.0","6.5","300","1200","20","150","40","None","Tolerant","-51","Late Spring","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","37440","Slow","Low","No","None","No","Yes","No","Low","Yes","No","Yes","Low","","No","No","Low","Yes","No"
"ABLAL","","Abies lasiocarpa var. lasiocarpa","subalpine fir","Gymnosperm","Perennial","Tree","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABPR","","Abies procera","noble fir","Gymnosperm","Perennial","Tree","L48(N)","","","Yes","Spring and Summer","","None","High","No","No","No","","No","Dark Green","Dense","Dense","Medium","Purple","Yes","Single Stem","Rapid","25","230","No","Yes","Long","No","None","No","Erect","None","Yes","Yes","No","None","Low","Yes","Low","Low","Low","50","Low","Low","6.0","7.5","430","1200","64","120","20","None","Intermediate","-23","Late Spring","Contracting Only","Low","Spring","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No","14640","Slow","Low","No","None","No","Yes","No","Medium","Yes","No","Yes","Low","Low","No","No","Low","Yes","Yes"
"ABRON","","Abronia","sand verbena","Dicot","","","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABFR2","","Abronia fragrans","snowball sand verbena","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABLA2","","Abronia latifolia","coastal sand verbena","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABME","","Abronia mellifera","white sand verbena","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABUM","","Abronia umbellata","pink sand verbena","Dicot","Perennial","Vine, Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABUMB","","Abronia umbellata ssp. breviflora","pink sand verbena","Dicot","Perennial","Forb/herb, Vine","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABUTI","","Abutilon","Indian mallow","Dicot","","","L48(I,N)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABTH","","Abutilon theophrasti","velvetleaf","Dicot","Annual","Forb/herb","L48(I)CAN(I)","CO(CW)IA(SNW)OR(BDW, Q)WA(CAW, NWSPQ)","CO (velvetleaf)IA (butterprint, velvetleaf)OR (velvetleaf)WA (velvetleaf)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACARO2","","Acarospora","cracked lichen","Lichen","","","NA(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACER","","Acer","maple","Dicot","","","L48(I,N)CAN(I,N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCI","","Acer circinatum","vine maple","Dicot","Perennial","Tree, Shrub, Vine","L48(N)AK(N?)CAN(N)","","","Yes","Spring and Summer","","None","High","No","Yes","No","Green","Yes","Green","Moderate","Porous","Medium","Brown","No","Single Stem","Moderate","15","20","No","No","Long","No","None","Yes","Erect","None","Yes","Yes","Yes","None","None","Yes","Low","Medium","Medium","200","None","Medium","5.5","7.5","700","1100","24","80","24","None","Tolerant","-13","Spring","No Known Source","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","4620","Slow","Medium","No","None","No","No","No","High","No","Yes","No","Medium","","No","No","","No","No"
"ACGL","","Acer glabrum","Rocky Mountain maple","Dicot","Perennial","Shrub, Tree","L48(N)AK(I?)CAN(N)","","","Yes","Spring and Summer","","None","High","No","Yes","No","Green","No","Green","Dense","Porous","Coarse","Brown","No","Multiple Stem","Rapid","15","30","No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","No","Low","Medium","Yes","Medium","Medium","High","180","Medium","Low","5.8","7.5","300","1200","9","60","24","None","Intermediate","-43","Late Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","13663","Slow","Low","No","Moderate","No","No","No","Medium","No","No","Yes","Medium","Low","No","No","","No","No"
"ACGLD4","","Acer glabrum var. douglasii","Douglas maple","Dicot","Perennial","Shrub, Tree","L48(N)AK(I?)CAN(N)","","","Yes","Spring and Summer","","None","High","No","Yes","No","Green","No","Green","Moderate","Porous","Coarse","Brown","No","Single Stem","Moderate","20","30","No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","No","None","Low","Yes","Low","Medium","Low","120","None","Medium","5.5","7.5","700","2700","16","50","24","None","Tolerant","-13","Late Spring","Contracting Only","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","16000","Slow","Medium","No","None","No","No","No","Low","No","No","Yes","Medium","Medium","No","No","Low","No","No"
"ACGR3","","Acer grandidentatum","bigtooth maple","Dicot","Perennial","Tree, Shrub","L48(N)","","","Yes","Spring and Summer","","None","High","No","No","No","Yellow","Yes","Green","Moderate","Porous","Medium","Brown","No","Single Stem","Moderate","20","38","No","No","Short","No","None","Yes","Erect","None","Yes","Yes","Yes","Low","None","Yes","Low","Medium","Medium","100","None","Medium","6.0","8.0","700","1100","16","30","24","None","Intermediate","-31","Spring","Routinely Available","Medium","Summer","Summer","No","Yes","No","Yes","No","No","Yes","No","No","No","6350","Slow","Low","No","None","No","No","No","High","No","No","No","Low","","No","Yes","","No","No"
"ACMA3","","Acer macrophyllum","bigleaf maple","Dicot","Perennial","Tree","L48(N)CAN(N)","","","Yes","Spring and Summer","","None","High","Yes","Yes","No","Yellow","No","Green","Dense","Porous","Medium","Brown","No","Single Stem","Rapid","30","60","No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","Yes","Medium","Low","Yes","Low","Medium","High","140","None","Medium","4.8","7.2","300","700","22","260","24","None","Intermediate","-14","Mid Spring","Contracting Only","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","3120","Moderate","High","No","None","No","No","No","Medium","Yes","No","Yes","High","Low","Yes","No","","No","Yes"
"ACNE2","","Acer negundo","boxelder","Dicot","Perennial","Tree","L48(N)CAN(N)","","","Yes","Spring and Summer","","None","High","Yes","Yes","No","White","No","Green","Dense","Porous","Coarse","Brown","Yes","Multiple Stem","Rapid","35","60","No","No","Short","No","None","Yes","Erect","None","Yes","Yes","Yes","Medium","High","Yes","High","Medium","Low","100","None","Medium","5.0","7.8","300","1200","15","75","40","Medium","Tolerant","-46","Early Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","11360","Slow","Low","No","Slow","No","No","No","Low","No","No","Yes","Low","Low","Yes","No","Low","Yes","No"
"ACNEI2","","Acer negundo var. interius","boxelder","Dicot","Perennial","Tree","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACNEN","","Acer negundo var. negundo","boxelder","Dicot","Perennial","Tree","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACNEV","","Acer negundo var. violaceum","boxelder","Dicot","Perennial","Tree","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPL","","Acer platanoides","Norway maple","Dicot","Perennial","Tree","L48(I)CAN(I)","CT(INB)MA(P)","CT (Norway maple)MA (Norway maple)","Yes","Spring and Summer","","None","High","Yes","Yes","No","Green","No","Red","Dense","Porous","Coarse","Brown","Yes","Single Stem","Slow","35","50","No","No","Moderate","No","None","Yes","Erect","None","No","Yes","No","None","Medium","Yes","Low","Medium","Low","100","None","Medium","4.8","6.8","300","700","24","60","30","Medium","Intermediate","-33","Mid Spring","Routinely Available","","Summer","Fall","No","Yes","No","Yes","No","Yes","No","No","No","No","","","","No","None","No","No","No","Medium","No","No","Yes","","","No","No","","No","No"
